Strategic,Monitor,On,Monday,02-April-2018,filename:CCITY_20180402

Monday,02-April-2018,00:00,SS,6M+,PL,4.3,PV,4.3,CL,88,+0,RL,86,SA,20,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,184,S,162,B,27,0,0,0,0,0,0,-,-,-,-,-,-,14
,183,S,183,B,34,74,11,8,64,8,7,-,-,-,-,-,-,44
,183,L,7,AC,61,17,4,3,-,-,-,-,-,-,-,-,-,120
A=<29,B=48,C=#20
Monday,02-April-2018,00:14,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,55,18,5,3,20,6,4,0,0,0,-,-,-,14
,354,S,31,B,31,0,0,0,10,2,1,9,2,1,-,-,-,21
,182,S,34,A,57,8,2,1,21,5,4,-,-,-,-,-,-,14
,2,L,14,AD,63,19,5,4,26,7,7,-,-,-,-,-,-,1100
,2,L,15,AD,63,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Monday,02-April-2018,00:14,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,5
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,13,5,4,5,2,1,23,9,7,0,0,0,24
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,02-April-2018,00:15,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,159
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,100,-,-,-,13,5,4,7,3,2,-,-,-,13
,196,S,310,A,68,26,4,5,48,9,9,162,3,33,-,-,-,159
,196,S,311,ABE,68,0,0,0,25,7,6,15,5,4,5,2,1,32
,196,S,312,D,43,111,12,13,27,5,4,51,8,8,28,2,3,87
