Strategic,Monitor,On,Sunday,03-June-2018,filename:CCITY_20180603

Sunday,03-June-2018,00:00,SS,6M+,PL,3.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,31,B,21,31,3,2,60,4,5,0,0,0,-,-,-,42
,182,S,34,A,38,0,0,0,40,5,5,-,-,-,-,-,-,27
A=<47,B=53
Sunday,03-June-2018,00:11,SS,6M+,PL,6.3,PV,7.3,CL,86,+0,RL,86,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,59,34,6,6,27,6,5,28,8,6,7,2,2,39
,183,S,21,B,34,80,11,9,70,8,9,31,4,4,-,-,-,62
,184,S,161,A,85,18,6,5,49,16,14,40,16,14,6,2,2,47
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,80,11,9,70,8,9,-,-,-,-,-,-,62
,183,L,7,AC,59,34,6,6,-,-,-,-,-,-,-,-,-,240
A=<29,B=48,C=#20
Sunday,03-June-2018,00:11,SS,58M+,PL,2.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,49
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,23,8,7,0,0,0,25,7,8,0,0,0,28
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,5
A=<74,B=#22
Sunday,03-June-2018,00:12,SS,10,-,PL,4.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,51
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,63,51,12,10,47,12,10,30,7,6,-,-,-,31
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,27
,182,S,34,A,38,0,0,0,40,5,5,-,-,-,-,-,-,34
A=<47,B=53
Sunday,03-June-2018,00:13,SS,6M+,PL,7.3,PV,7.3,CL,86,+0,RL,86,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,59,34,6,6,27,6,5,28,8,6,7,2,2,33
,183,S,21,B,34,80,11,9,70,8,9,31,4,4,-,-,-,71
,184,S,161,A,85,14,5,4,26,9,8,15,6,5,0,0,0,38
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,80,11,9,70,8,9,-,-,-,-,-,-,71
,183,L,7,AC,59,34,6,6,-,-,-,-,-,-,-,-,-,240
A=<27,B=50,C=#20
Sunday,03-June-2018,00:13,SS,58M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,200,DS,38
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,74,35,12,10,16,5,4,23,9,7,0,0,0,31
,288,S,270,B,12,40,3,2,0,0,0,-,-,-,-,-,-,18
A=<77,B=#20
Sunday,03-June-2018,00:13,SS,85M+,PL,7.3,PV,7.3,CL,120,+0,RL,140,SA,310,DS,135
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,107,-,-,-,48,17,15,20,7,6,-,-,-,40
,196,S,310,A,51,59,9,9,44,7,7,98,6,14,-,-,-,135
,196,S,311,ABE,51,42,4,9,56,10,9,57,10,10,17,4,3,58
,196,S,312,D,43,102,9,13,74,10,10,118,13,19,48,7,6,99
,197,L,71,ABF,40,69,8,9,31,6,5,-,-,-,-,-,-,440
,197,L,72,ABF,40,88,7,12,114,10,14,-,-,-,-,-,-,640
A=<20,B=20,C=#25,D=22,E=17
Sunday,03-June-2018,00:13,SS,10,-,PL,2.2,PV,2.2,CL,60,+4,RL,60,SA,30,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,61,9,3,2,9,3,2,0,0,0,-,-,-,25
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,13
,182,S,34,A,62,0,0,0,10,3,2,-,-,-,-,-,-,27
A=<60,B=40
