Strategic,Monitor,On,Wednesday,16-May-2018,filename:CCITY_20180516

Wednesday,16-May-2018,00:00,SS,28M+,PL,8.3,PV,8.2,CL,60,+0,RL,60,SA,51,DS,128
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Wednesday,16-May-2018,00:07,SS,23M+,PL,6.3,PV,6.3,CL,60,+0,RL,60,SA,130,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,48,0,0,0,33,9,7,20,6,4,-,-,-,31
,152,S,131,A,48,0,0,0,0,0,0,-,-,-,-,-,-,14
,152,S,132,C,16,0,0,0,31,3,2,0,0,0,-,-,-,46
,193,L,57,ABCE,61,6,2,1,44,10,9,0,0,0,-,-,-,300
,193,L,58,AE,39,16,3,2,12,2,2,17,3,2,-,-,-,280
A=<63,B=1,C=37,D=1
Wednesday,16-May-2018,00:08,SS,3M+,PL,8.3,PV,8.3,CL,86,+0,RL,69,SA,201,DS,26
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,77,19,6,6,-,-,-,-,-,-,-,-,-,16
,145,S,10,C,14,0,0,0,10,2,1,0,0,0,-,-,-,23
,145,S,133,AB,64,0,0,0,8,2,2,-,-,-,-,-,-,13
,145,S,204,AB,64,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,64,0,0,0,8,2,2,-,-,-,-,-,-,13
,145,S,212,AC,77,19,6,6,-,-,-,-,-,-,-,-,-,16
,145,L,4,AB,64,0,0,0,8,2,2,-,-,-,-,-,-,140
A=<54,B=#23,C=19
Wednesday,16-May-2018,00:08,SS,10M+,PL,4.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,61,14,4,3,14,4,3,7,2,1,-,-,-,15
,354,S,31,B,18,10,2,1,24,2,2,0,0,0,-,-,-,17
,182,S,34,A,26,0,0,0,12,2,1,-,-,-,-,-,-,10
,2,L,14,AD,73,38,3,9,43,15,14,-,-,-,-,-,-,1600
,2,L,15,AD,73,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Wednesday,16-May-2018,00:08,SS,28M+,PL,8.3,PV,8.2,CL,60,+0,RL,72,SA,90,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,47,22,3,4,44,8,7,-,-,-,-,-,-,52
,48,S,90,A,47,-,-,-,-,-,-,154,2,29,-,-,-,129
,48,S,91,BC,18,23,2,1,0,0,0,-,-,-,-,-,-,15
,48,S,213,A,47,-,-,-,-,-,-,154,2,29,-,-,-,129
,48,L,23,A,47,22,3,4,44,8,7,-,-,-,-,-,-,420
,48,L,49,A,47,-,-,-,-,-,-,154,2,29,-,-,-,960
A=<35,B=28,C=#22
Wednesday,16-May-2018,00:08,SS,23M+,PL,6.3,PV,8.3,CL,60,+0,RL,60,SA,130,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,48,0,0,0,33,9,7,20,6,4,-,-,-,32
,152,S,131,A,48,0,0,0,0,0,0,-,-,-,-,-,-,0
,152,S,132,C,16,0,0,0,31,3,2,0,0,0,-,-,-,42
,193,L,57,ABCE,61,6,2,1,44,10,9,0,0,0,-,-,-,320
,193,L,58,AE,39,16,3,2,12,2,2,17,3,2,-,-,-,240
A=<63,B=1,C=37,D=1
Wednesday,16-May-2018,00:09,SS,28M+,PL,8.3,PV,5.2,CL,60,+0,RL,63,SA,51,DS,166
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,31,12,2,1,0,0,0,-,-,-,-,-,-,38
,48,S,90,A,31,-,-,-,-,-,-,0,0,0,-,-,-,89
,48,S,91,BC,21,20,3,1,31,4,2,-,-,-,-,-,-,22
,48,S,213,A,31,-,-,-,-,-,-,0,0,0,-,-,-,89
,48,L,23,A,31,12,2,1,0,0,0,-,-,-,-,-,-,300
,48,L,49,A,31,-,-,-,-,-,-,0,0,0,-,-,-,680
A=<35,B=28,C=#22
Wednesday,16-May-2018,00:09,SS,23M+,PL,2.3,PV,2.2,CL,60,+0,RL,60,SA,130,DS,66
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,33,0,0,0,66,10,10,33,6,5,-,-,-,48
,152,S,131,A,33,10,2,1,0,0,0,-,-,-,-,-,-,5
,152,S,132,C,18,0,0,0,0,0,0,30,2,2,-,-,-,31
,193,L,57,ABCE,66,5,2,1,55,12,13,0,0,0,-,-,-,420
,193,L,58,AE,44,0,0,0,10,2,2,0,0,0,-,-,-,140
A=<71,B=1,C=29,D=1
Wednesday,16-May-2018,00:10,SS,3M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,200,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,86,0,0,0,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,15,23,2,1,51,3,3,0,0,0,-,-,-,32
,145,S,133,AB,72,6,3,2,10,3,2,-,-,-,-,-,-,11
,145,S,204,AB,72,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,72,6,3,2,10,3,2,-,-,-,-,-,-,11
,145,S,212,AC,86,0,0,0,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,72,6,3,2,10,3,2,-,-,-,-,-,-,140
A=<36,B=#23,C=37
Wednesday,16-May-2018,00:10,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,28
