Strategic,Monitor,On,Friday,04-May-2018,filename:CCITY_20180504

Friday,04-May-2018,00:00,SS,6M+,PL,5.3,PV,5.3,CL,93,+0,RL,86,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,83,-,-,-,18,7,5,0,0,0,-,-,-,13
,196,S,310,A,66,9,2,2,17,4,3,31,5,6,-,-,-,47
,196,S,311,ABE,66,0,0,0,31,8,6,26,7,6,0,0,0,39
,196,S,312,D,31,40,2,4,23,2,2,55,6,7,48,5,4,45
,197,L,71,ABF,34,31,3,4,33,4,4,-,-,-,-,-,-,360
,197,L,72,ABF,34,61,7,7,124,7,13,-,-,-,-,-,-,660
A=<15,B=20,C=#25,D=23,E=17
Friday,04-May-2018,00:17,SS,6M+,PL,8.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,39,7,7,27,4,5,23,5,5,8,2,2,32
,183,S,21,B,34,23,4,3,29,4,3,43,5,5,-,-,-,38
