Strategic,Monitor,On,Tuesday,17-April-2018,filename:CCITY_20180417

Tuesday,17-April-2018,00:00,SS,85M+,PL,5.4,PV,6.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,2,L,14,AD,68,7,2,2,6,2,2,-,-,-,-,-,-,300
,2,L,15,AD,68,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Tuesday,17-April-2018,00:12,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,11,4,4,0,0,0,6,2,2,0,0,0,16
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Tuesday,17-April-2018,00:13,SS,85M+,PL,3.4,PV,3.4,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,99,-,-,-,0,0,0,0,0,0,-,-,-,5
,196,S,310,A,69,0,0,0,29,8,6,12,3,2,-,-,-,40
,196,S,311,ABE,69,0,0,0,20,6,4,17,5,4,9,3,2,25
,196,S,312,D,30,0,0,0,30,4,3,61,7,7,0,0,0,56
,197,L,71,ABF,35,44,6,6,44,7,7,-,-,-,-,-,-,580
,197,L,72,ABF,35,52,7,6,29,4,4,-,-,-,-,-,-,280
A=<11,B=20,C=#25,D=26,E=18
Tuesday,17-April-2018,00:14,SS,6M+,PL,6.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,20,4,3,7,2,1,0,0,0,0,0,0,26
,183,S,21,B,26,22,2,2,0,0,0,0,0,0,-,-,-,30
,184,S,161,A,85,16,6,5,25,9,8,5,2,2,0,0,0,25
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,26,22,2,2,0,0,0,-,-,-,-,-,-,30
,183,L,7,AC,57,20,4,3,-,-,-,-,-,-,-,-,-,160
A=<29,B=48,C=#20
Tuesday,17-April-2018,00:14,SS,10M+,PL,2.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,84,6,3,2,6,3,2,0,0,0,-,-,-,7
,354,S,31,B,14,10,2,1,10,2,1,0,0,0,-,-,-,8
,182,S,34,A,87,0,0,0,5,2,2,-,-,-,-,-,-,6
,2,L,14,AD,59,6,2,1,20,6,5,-,-,-,-,-,-,400
,2,L,15,AD,59,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Tuesday,17-April-2018,00:14,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,18,7,6,0,0,0,10,4,3,0,0,0,17
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Tuesday,17-April-2018,00:15,SS,85M+,PL,3.4,PV,8.4,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,83,-,-,-,0,0,0,0,0,0,-,-,-,2
,196,S,310,A,19,106,2,6,27,2,2,92,3,5,-,-,-,68
,196,S,311,ABE,41,10,2,2,51,7,7,36,5,5,9,2,1,36
,196,S,312,D,31,13,2,1,13,2,1,20,2,2,0,0,0,38
,197,L,71,ABF,82,10,4,3,24,7,9,-,-,-,-,-,-,460
,197,L,72,ABF,82,22,6,6,6,3,2,-,-,-,-,-,-,280
A=<11,B=20,C=#25,D=26,E=18
Tuesday,17-April-2018,00:15,SS,6M+,PL,6.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,61,13,3,2,21,4,4,18,5,4,0,0,0,22
,183,S,21,B,31,31,4,3,30,4,3,10,2,1,-,-,-,27
,184,S,161,A,85,9,4,3,16,6,5,16,7,5,0,0,0,20
,184,S,162,B,11,0,0,0,22,2,1,-,-,-,-,-,-,10
,183,S,183,B,31,31,4,3,30,4,3,-,-,-,-,-,-,27
,183,L,7,AC,61,13,3,2,-,-,-,-,-,-,-,-,-,120
A=<29,B=48,C=#20
Tuesday,17-April-2018,00:15,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,72,12,5,3,10,4,2,10,4,2,-,-,-,9
,354,S,31,B,18,18,2,1,0,0,0,0,0,0,-,-,-,14
,182,S,34,A,86,7,3,2,11,4,3,-,-,-,-,-,-,8
,2,L,14,AD,75,0,0,0,24,8,8,-,-,-,-,-,-,660
,2,L,15,AD,75,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Tuesday,17-April-2018,00:15,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,13,5,4,5,2,1,18,7,6,0,0,0,16
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Tuesday,17-April-2018,00:17,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,33
