Strategic,Monitor,On,Friday,13-April-2018,filename:CCITY_20180413

Friday,13-April-2018,00:00,SS,3M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,L,4,AB,70,0,0,0,13,4,3,-,-,-,-,-,-,120
A=<36,B=#23,C=40
Friday,13-April-2018,00:13,SS,10M+,PL,4.2,PV,3.2,CL,95,+0,RL,72,SA,52,DS,90
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,11,4,2,8,3,2,0,0,0,-,-,-,15
,354,S,31,B,19,19,3,1,26,3,2,0,0,0,-,-,-,27
,182,S,34,A,19,0,0,0,0,0,0,-,-,-,-,-,-,9
,2,L,14,AD,54,7,2,1,22,4,5,-,-,-,-,-,-,760
,2,L,15,AD,54,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,13-April-2018,00:13,SS,28M+,PL,8.2,PV,8.2,CL,87-22,RL,87,SA,47,DS,78
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,69,0,0,0,20,5,5,-,-,-,-,-,-,17
,48,S,90,A,69,-,-,-,-,-,-,68,14,21,-,-,-,115
,48,S,91,BC,14,27,3,1,24,2,1,-,-,-,-,-,-,28
,48,S,213,A,69,-,-,-,-,-,-,68,14,21,-,-,-,115
,48,L,23,A,69,0,0,0,20,5,5,-,-,-,-,-,-,160
,48,L,49,A,69,-,-,-,-,-,-,68,14,21,-,-,-,1340
A=<47,B=28,C=#22
Friday,13-April-2018,00:13,SS,23M+,PL,3.3,PV,3.3,CL,120,+0,RL,99,SA,130,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,115,30,20,16,31,17,16,29,15,15,-,-,-,39
,152,S,131,A,115,18,7,7,12,6,5,-,-,-,-,-,-,21
,152,S,132,C,21,20,2,1,12,2,1,28,3,2,-,-,-,25
,193,L,57,ABCE,50,0,0,0,29,6,5,33,7,6,-,-,-,260
,193,L,58,AE,28,0,0,0,13,2,1,15,2,2,-,-,-,140
A=<68,B=1,C=32,D=1
Friday,13-April-2018,00:14,SS,3M+,PL,1.3,PV,18.3,CL,94,+0,RL,75,SA,200,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,105,7,3,3,-,-,-,-,-,-,-,-,-,9
,145,S,10,C,13,0,0,0,23,3,1,0,0,0,-,-,-,19
,145,S,133,AB,93,5,3,2,8,3,3,-,-,-,-,-,-,10
,145,S,204,AB,93,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,93,5,3,2,8,3,3,-,-,-,-,-,-,10
,145,S,212,AC,105,7,3,3,-,-,-,-,-,-,-,-,-,9
,145,L,4,AB,93,5,3,2,8,3,3,-,-,-,-,-,-,140
A=<35,B=#23,C=41
Friday,13-April-2018,00:14,SS,10M+,PL,4.2,PV,4.2,CL,94,+0,RL,75,SA,20,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
