Strategic,Monitor,On,Sunday,29-April-2018,filename:CCITY_20180429

Sunday,29-April-2018,00:00,SS,23M+,PL,4.4,PV,3.3,CL,120,+0,RL,101,SA,310,DS,167
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,L,23,A,43,0,0,0,30,5,5,-,-,-,-,-,-,180
,48,L,49,A,43,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<40,B=40,C=#22
Sunday,29-April-2018,00:11,SS,3M+,PL,1.2,PV,20.3,CL,104,+0,RL,85,SA,201,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,106,27,10,10,-,-,-,-,-,-,-,-,-,18
,145,S,10,C,26,38,5,4,14,3,2,0,0,0,-,-,-,24
,145,S,133,AB,81,5,2,2,5,2,1,-,-,-,-,-,-,11
,145,S,204,AB,81,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,81,5,2,2,5,2,1,-,-,-,-,-,-,11
,145,S,212,AC,106,27,10,10,-,-,-,-,-,-,-,-,-,18
,145,L,4,AB,81,5,2,2,5,2,1,-,-,-,-,-,-,220
A=<35,B=#23,C=43
Sunday,29-April-2018,00:11,SS,10M+,PL,4.2,PV,4.2,CL,104,+0,RL,85,SA,20,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,79,33,12,8,34,14,9,21,8,5,-,-,-,27
,354,S,31,B,31,0,0,0,25,4,3,0,0,0,-,-,-,26
,182,S,34,A,56,0,0,0,17,4,3,-,-,-,-,-,-,17
,2,L,14,AD,72,30,9,7,30,11,9,-,-,-,-,-,-,1460
,2,L,15,AD,72,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Sunday,29-April-2018,00:12,SS,23M+,PL,7.3,PV,7.2,CL,120,+0,RL,101,SA,310,DS,167
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,82,40,20,16,43,16,16,34,14,13,-,-,-,44
,152,S,131,A,82,23,7,6,45,16,13,-,-,-,-,-,-,33
,152,S,132,C,38,54,7,6,32,6,5,13,2,2,-,-,-,60
,193,L,57,ABCE,83,4,2,1,32,11,9,82,5,22,-,-,-,760
,193,L,58,AE,83,16,4,4,23,7,7,22,6,7,-,-,-,520
A=<61,B=1,C=39,D=1
Sunday,29-April-2018,00:13,SS,28M+,PL,3.2,PV,8.3,CL,110,+0,RL,94,SA,47,DS,86
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,46,37,5,6,37,5,6,-,-,-,-,-,-,33
,48,S,90,A,46,-,-,-,-,-,-,89,3,17,-,-,-,40
,48,S,91,BC,44,46,4,7,28,6,4,-,-,-,-,-,-,49
,48,S,213,A,46,-,-,-,-,-,-,89,3,17,-,-,-,40
,48,L,23,A,46,37,5,6,37,5,6,-,-,-,-,-,-,240
,48,L,49,A,46,-,-,-,-,-,-,89,3,17,-,-,-,240
A=<40,B=40,C=#22
Sunday,29-April-2018,00:13,SS,3M+,PL,1.2,PV,0.3,CL,102,+0,RL,86,SA,201,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,92,15,5,5,-,-,-,-,-,-,-,-,-,17
,145,S,10,C,15,19,3,1,10,2,1,0,0,0,-,-,-,23
,145,S,133,AB,78,17,7,6,18,5,5,-,-,-,-,-,-,13
,145,S,204,AB,78,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,78,17,7,6,18,5,5,-,-,-,-,-,-,13
,145,S,212,AC,92,15,5,5,-,-,-,-,-,-,-,-,-,17
,145,L,4,AB,78,17,7,6,18,5,5,-,-,-,-,-,-,280
A=<34,B=#23,C=43
Sunday,29-April-2018,00:13,SS,10M+,PL,2.2,PV,2.2,CL,102,+0,RL,86,SA,20,DS,47
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,72,47,15,11,41,14,10,30,8,7,-,-,-,37
,354,S,31,B,17,15,3,1,15,3,1,0,0,0,-,-,-,22
,182,S,34,A,74,9,3,2,26,7,6,-,-,-,-,-,-,21
,2,L,14,AD,64,22,6,5,23,6,6,-,-,-,-,-,-,1400
,2,L,15,AD,64,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Sunday,29-April-2018,00:14,SS,23M+,PL,3.3,PV,3.3,CL,120,+0,RL,101,SA,310,DS,164
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,73,25,11,9,35,12,11,34,12,11,-,-,-,39
,152,S,131,A,73,48,13,12,51,14,14,-,-,-,-,-,-,43
,152,S,132,C,19,22,3,1,0,0,0,0,0,0,-,-,-,41
,193,L,57,ABCE,82,11,4,4,38,12,11,0,0,0,-,-,-,680
,193,L,58,AE,82,21,7,5,38,12,12,34,11,10,-,-,-,640
A=<68,B=1,C=32,D=1
Sunday,29-April-2018,00:14,SS,28M+,PL,8.2,PV,8.2,CL,109,+0,RL,108,SA,90,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,67,18,5,4,37,10,9,-,-,-,-,-,-,35
,48,S,90,A,67,-,-,-,-,-,-,154,3,43,-,-,-,99
,48,S,91,BC,49,35,8,6,42,8,7,-,-,-,-,-,-,46
,48,S,213,A,67,-,-,-,-,-,-,154,3,43,-,-,-,99
,48,L,23,A,67,18,5,4,37,10,9,-,-,-,-,-,-,340
,48,L,49,A,67,-,-,-,-,-,-,154,3,43,-,-,-,800
A=<52,B=28,C=#22
Sunday,29-April-2018,00:14,SS,3M+,PL,5.3,PV,5.3,CL,100,+5,RL,85,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,99,9,3,3,-,-,-,-,-,-,-,-,-,15
,145,S,10,C,13,0,0,0,0,0,0,0,0,0,-,-,-,15
,145,S,133,AB,87,7,4,3,8,3,2,-,-,-,-,-,-,11
,145,S,204,AB,87,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,87,7,4,3,8,3,2,-,-,-,-,-,-,11
,145,S,212,AC,99,9,3,3,-,-,-,-,-,-,-,-,-,15
,145,L,4,AB,87,7,4,3,8,3,2,-,-,-,-,-,-,220
A=<48,B=#23,C=29
Sunday,29-April-2018,00:14,SS,10M+,PL,2.2,PV,3.2,CL,100,+0,RL,85,SA,20,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,87,24,10,7,18,8,5,15,6,4,-,-,-,34
,354,S,31,B,26,19,4,2,10,3,1,15,2,1,-,-,-,19
,182,S,34,A,68,11,3,2,23,5,5,-,-,-,-,-,-,23
,2,L,14,AD,65,44,10,10,52,14,15,-,-,-,-,-,-,1600
,2,L,15,AD,65,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Sunday,29-April-2018,00:16,SS,23M+,PL,3.3,PV,7.4,CL,120,+0,RL,101,SA,310,DS,162
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,101,34,20,16,36,19,16,36,17,16,-,-,-,37
