Strategic,Monitor,On,Saturday,09-June-2018,filename:CCITY_20180609

Saturday,09-June-2018,00:00,SS,10M-,PL,3.2,PV,2.2,CL,87,+0,RL,70,SA,56,DS,114
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
A=<22,B=20,C=#25,D=20,E=17
Saturday,09-June-2018,00:18,SS,6M+,PL,7.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,68
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,48,62,8,9,68,11,10,67,11,12,29,6,5,52
,183,S,21,B,27,22,2,2,16,3,2,24,2,2,-,-,-,57
,184,S,161,A,85,21,8,6,60,18,17,38,15,13,18,6,5,44
,184,S,162,B,27,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,22,2,2,16,3,2,-,-,-,-,-,-,56
,183,L,7,AC,48,62,8,9,-,-,-,-,-,-,-,-,-,260
A=<27,B=50,C=#20
Saturday,09-June-2018,00:18,SS,58M+,PL,2.3,PV,2.3,CL,86,+0,RL,69,SA,200,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,34,13,11,4,2,1,25,11,9,0,0,0,32
,288,S,270,B,11,29,2,1,0,0,0,-,-,-,-,-,-,13
A=<72,B=#24
Saturday,09-June-2018,00:18,SS,10M+,PL,3.2,PV,4.2,CL,97,+0,RL,84,SA,57,DS,86
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,11,4,2,8,3,2,0,0,0,-,-,-,22
,354,S,31,B,42,29,5,4,50,6,8,10,2,2,-,-,-,39
,182,S,34,A,49,0,0,0,18,4,3,-,-,-,-,-,-,14
A=<53,B=47
