Strategic,Monitor,On,Thursday,10-May-2018,filename:CCITY_20180510

Thursday,10-May-2018,00:00,SS,23M+,PL,3.3,PV,3.4,CL,75,-6,RL,75,SA,131,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,56,14,3,3,37,7,7,-,-,-,-,-,-,24
,48,S,90,A,56,-,-,-,-,-,-,0,0,0,-,-,-,33
,48,S,91,BC,25,14,2,1,25,6,2,-,-,-,-,-,-,41
,48,S,213,A,56,-,-,-,-,-,-,0,0,0,-,-,-,33
,48,L,23,A,56,14,3,3,37,7,7,-,-,-,-,-,-,280
,48,L,49,A,56,-,-,-,-,-,-,0,0,0,-,-,-,340
A=<30,B=44,C=#22
Thursday,10-May-2018,00:08,SS,3M+,PL,6.3,PV,6.3,CL,103,+0,RL,82,SA,5,DS,105
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,67,7,2,2,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,0,0,0,0,0,0,0,0,0,0,-,-,-,18
,145,S,133,AB,69,25,9,8,17,4,4,-,-,-,-,-,-,17
,145,S,204,AB,69,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,69,25,9,8,17,4,4,-,-,-,-,-,-,17
,145,S,212,AC,67,7,2,2,-,-,-,-,-,-,-,-,-,8
,145,L,4,AB,69,25,9,8,17,4,4,-,-,-,-,-,-,280
A=<53,B=#23,C=25
Thursday,10-May-2018,00:08,SS,10M+,PL,4.2,PV,4.2,CL,103,+0,RL,82,SA,20,DS,49
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,82,18,8,5,15,7,4,10,4,2,-,-,-,17
,354,S,31,B,17,10,2,1,16,3,1,10,2,1,-,-,-,16
,182,S,34,A,47,0,0,0,27,5,4,-,-,-,-,-,-,24
,2,L,14,AD,45,0,0,0,0,0,0,-,-,-,-,-,-,660
,2,L,15,AD,45,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,10-May-2018,00:08,SS,23M+,PL,6.4,PV,6.2,CL,100-12,RL,62,SA,107,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,64,14,6,4,20,6,6,15,5,4,-,-,-,47
,152,S,131,A,64,19,6,4,13,4,3,-,-,-,-,-,-,19
,152,S,132,C,19,37,2,2,18,2,1,0,0,0,-,-,-,48
,193,L,57,ABCE,40,0,0,0,42,6,6,154,2,22,-,-,-,960
,193,L,58,AE,18,26,2,1,71,4,5,0,0,0,-,-,-,320
A=<63,B=1,C=37,D=1
Thursday,10-May-2018,00:09,SS,28M+,PL,2.2,PV,2.3,CL,74,+2,RL,74,SA,47,DS,45
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,52,0,0,0,15,3,3,-,-,-,-,-,-,22
,48,S,90,A,52,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,42,52,4,8,18,4,3,-,-,-,-,-,-,45
,48,S,213,A,52,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,52,0,0,0,15,3,3,-,-,-,-,-,-,220
,48,L,49,A,52,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<26,B=44,C=#22
Thursday,10-May-2018,00:10,SS,3M+,PL,1.3,PV,1.3,CL,100,+0,RL,84,SA,201,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,130,14,6,6,-,-,-,-,-,-,-,-,-,11
